Movie_id,Language,Movie_Name,Genres,Year of Release,Popularity,Vote_Average,Vote_Count,Adult
862491,en,Catwoman: Hunted,Action Animation Crime,2022-02-07,23.439,5.985,67,False
10312,en,Patch Adams,Comedy Drama,1998-12-25,22.987,7.303,2845,False
10753,cn,警察故事續集,Action Crime Thriller,1988-08-13,24.093,6.998,411,False
895006,ja,鬼滅の刃 鼓屋敷編,Action Animation Fantasy,2022-09-15,56.135,7.375,4,False
347984,en,6 Days,Action Drama History Thriller,2017-07-09,13.92,6.011,611,False
338,de,Good Bye Lenin!,Comedy Drama,2003-02-09,15.272,7.559,2060,False
10285,en,Jason Goes to Hell: The Final Friday,Horror,1993-08-13,38.564,4.505,774,False
644831,en,Blithe Spirit,Comedy Fantasy Romance,2020-11-10,8.367,5.715,135,False
10481,en,102 Dalmatians,Comedy Family,2000-11-21,16.985,5.476,1186,False
12448,en,The Hunchback of Notre Dame II,Animation Comedy Family,2002-02-05,22.257,5.364,684,False
7347,pt,Tropa de Elite,Action Crime Drama,2007-10-12,63.33,8.06,1932,False
579,en,Jaws 2,Horror Thriller,1978-06-16,20.224,5.943,1582,False
11884,en,The Last Starfighter,Action Adventure Science Fiction,1984-07-13,15.41,6.6,574,False
179,en,The Interpreter,Crime Thriller,2005-04-08,14.616,6.303,1246,False
504949,en,The King,Drama History War,2019-10-11,22.058,7.161,2737,False
581387,ko,백두산,Action Adventure Thriller,2019-12-19,48.746,6.784,470,False
335360,en,My Little Pony: The Movie,Adventure Animation Family Fantasy Music,2017-10-05,20.163,7.2,322,False
534134,en,Blackbird,Action Crime Romance,2022-09-02,4.166,4.0,4,False
745881,th,ร่างทรง,Horror Thriller,2021-07-14,40.57,7.072,473,False
826007,ja,地獄の花園,Action Comedy,2021-05-21,3.751,6.9,8,False
360784,en,Hidden,Horror Thriller,2015-09-15,118.844,6.868,758,False
8703,cs,Tři oříšky pro Popelku,Family Fantasy Romance,1973-11-16,14.673,7.611,274,False
